division,region,area,branch_name,ao_no,prg_no,no_disb,disbamt,no_overdue,overdue_amt,tot_out_amt,no_repeat_loan,repeat_loan_amt,no_new_loan,new_loan_amt,no_disb_less_10k,amt_disb_less_10k,no_disb_10k_20k,amt_disb_10k_20k,no_disb_10_1k_30k,amt_disb_10_1k_30k,no_disb_20_1k_30k,amt_disb_20_1k_30k,no_disb_30_1k_50k,amt_disb_30_1k_50k,no_disb_50_1k_80k,amt_disb_50_1k_80k,no_disb_80_1k_100k,amt_disb_80_1k_100k,no_disb_80_1k_100k_2,amt_disb_80_1k_100k_2,current_borr,no_curr_to_late,curr_to_late_amt,new_ad_member,branch_cate,branch_cate_2
Central-1,Bhairab,Belabo,Belabo,1113,279,6432,314951527,714,8148116,73444600,90,5760000,47,2075000,0,0,11,200000,26,665000,16,475000,60,2860000,0,0,13,1290000,13,1290000,2724,9,208878,49,1,NULL
Central-1,Bhairab,Belabo,Kachikata/Narsingdi,444,279,4723,236034528,291,3397020,52561349,69,4385000,27,1220000,0,0,10,190000,21,530000,12,350000,35,1635000,0,0,8,800000,8,800000,1786,5,60354,23,3,NULL
Central-1,Bhairab,Pakundia,Pakundia,301,279,5055,207044091,324,2627082,48580371,91,4975000,22,740000,0,0,21,345000,38,965000,23,680000,35,1660000,0,0,12,1200000,12,1200000,1936,3,50339,27,3,NULL
Central-1,Gazipur,Kapasia,Kapasia/Gazipur,242,279,2863,157843405,208,3207643,36998472,41,2514727,34,1560000,0,0,7,135000,16,400000,9,265000,32,1515000,0,0,9,900000,9,900000,1179,NULL,NULL,39,2,NULL
Central-1,Gazipur,Sreepur,Sreepur,243,279,5470,295056986,653,11096763,62453643,64,4735000,56,2400000,0,0,3,60000,17,480000,14,420000,62,2900000,0,0,7,690000,7,690000,2290,NULL,NULL,67,1,NULL
Central-1,Manikgonj,Manikgonj Sadar,Manikgonj Sadar,446,279,5148,277016673,404,6100446,66728076,83,4710000,45,1885000,0,0,27,410000,39,970000,23,670000,38,1755000,0,0,11,1100000,11,1100000,1955,4,163147,50,2,NULL
Central-1,Manikgonj,Saturia,Saturia,647,279,2948,151259026,178,2800172,35102387,49,3055000,6,180000,0,0,13,220000,22,545000,12,355000,12,550000,0,0,5,500000,5,500000,1026,NULL,NULL,12,3,NULL
Central-1,Narsingdi,Hatirdia,Hatirdia,501,279,4911,278195834,369,6346853,64929061,83,6821295,53,2540000,0,0,12,190000,27,705000,19,555000,41,1937939,0,0,16,1600000,16,1600000,1986,NULL,NULL,58,2,NULL
Central-1,Narsingdi,Narsingdi,Narsingdi Sadar,811,279,4966,238142528,439,5612679,54061453,61,3013728,65,2680000,2,12028,10,165284,41,1135284,33,990000,58,2642403,0,0,7,689902,7,689902,2194,4,60237,72,2,NULL
Central-1,Narsingdi,Palash,Palash,1102,279,5538,290188487,478,6772217,71269469,64,3985094,45,2460000,3,25460,10,174792,19,425291,9,250499,38,1754343,0,0,15,1480000,15,1480000,2192,7,250613,55,2,NULL
Central-1,Narsingdi,Raipura,Raipura,5102,279,6337,375605539,248,3908310,87919219,95,7427652,49,2660000,1,9405,11,199755,26,659755,16,470000,42,2005000,0,0,25,2489750,25,2489750,2374,1,971,61,4,NULL
